Id,SalePrice
1001,39697.71480360371
1002,82650.3853458052
1003,286147.5101973661
1004,148986.27902997308
1005,225017.21518081287
1006,159039.5807980965
1007,173939.60179206217
1008,101634.4512322743
1009,242960.7163311867
1010,101007.92697578482
1011,135018.90520301834
1012,142596.37972289254
1013,93650.47941155266
1014,37367.984458207386
1015,148209.4486322396
1016,283565.78261809517
1017,242884.6113188495
1018,244160.5739931143
1019,237018.07445522817
1020,239553.35880929744
1021,123000.80969284428
1022,246069.21052648546
1023,79469.110146072
1024,237354.1341550704
1025,209740.69807763956
1026,148759.61753806402
1027,125306.799994729
1028,284184.7713913135
1029,103388.45264184335
1030,175926.20023415564
1031,64379.41139683081
1032,124162.60295338766
1033,270280.7418238367
1034,242349.97223961726
1035,98923.32439392037
1036,97189.66565936361
1037,314338.99713630415
1038,263701.5180939883
1039,81517.47546931752
1040,94568.04497244395
1041,98385.13719256269
1042,157495.52106746403
1043,193924.78250090545
1044,221660.1325773676
1045,250395.15733992355
1046,50508.325448280666
1047,307936.5253986097
1048,165493.18848649412
1049,89062.02000238583
1050,44833.98678438878
1051,258813.49511177046
1052,258472.80878794193
1053,151256.42937352997
1054,108592.35912845819
1055,273800.7227256824
1056,182135.9474924663
1057,242181.19041458704
1058,231602.3507705466
1059,306107.1660399763
1060,111219.08913314342
1061,278446.39390104683
1062,9564.223902165657
1063,48945.936067544855
1064,103061.42357421946
1065,133805.23957339954
1066,223396.2667040117
1067,197862.89251666376
1068,170335.597145773
1069,174199.35556902038
1070,93277.27464521909
1071,128150.77795822523
1072,174338.3836915018
1073,120851.05125471065
1074,177707.28233121336
1075,247069.11993929744
1076,157781.58600260713
1077,83945.82934149099
1078,139721.30572638055
1079,198862.74585326575
1080,168102.75247141905
1081,173793.67169231316
1082,137550.32960362593
1083,249636.4555109879
1084,168238.6771141123
1085,203538.40263146628
1086,191507.1854058858
1087,104476.38684772304
1088,270496.9892342873
1089,244605.75075306697
1090,266702.62901987834
1091,41947.93722440326
1092,243432.1797462199
1093,131564.65356792184
1094,91174.11170004634
1095,104737.32431571744
1096,218369.811438845
1097,81469.2479330611
1098,262744.33311005356
1099,58513.02177679073
1100,221303.34180219658
1101,-39311.50085514225
1102,147332.34857992711
1103,100452.24877580325
1104,165821.75770330708
1105,144275.13526395243
1106,245592.08995508775
1107,237454.75651869737
1108,234765.62061669165
1109,201734.26761847688
1110,277708.4253565152
1111,195190.47222470632
1112,219483.27647873852
1113,124729.60535387811
1114,92259.93522630958
1115,104224.7025401236
1116,281898.6046645269
1117,287796.6376664741
1118,128579.06256373925
1119,105577.80836793105
1120,131593.3479085078
1121,109444.89259837102
1122,245820.92723762197
1123,93648.17290780041
1124,96214.8984469478
1125,237892.14416151214
1126,77217.6565426141
1127,236803.85144862952
1128,247371.26129351975
1129,248291.73068753257
1130,143332.65650072973
1131,50770.86119952053
1132,166952.71788632823
1133,70287.97059543245
1134,265607.63758106064
1135,200949.31937960535
1136,121304.30387175805
1137,157452.89665246848
1138,-9275.712088522501
1139,173642.72336098365
1140,77848.1884030865
1141,115142.35667140642
1142,143106.76489396417
1143,268158.4913326213
1144,136336.8544651221
1145,64279.30947043747
1146,76533.85280034109
1147,201055.34083795687
